ID,Dialogue,Reference Summary,Generated Summary,Missing Information,Redundant Information,Circumstance,Wrong Reference,Negation,Object,Tense,Modality,Score,Model Name
87,"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/","Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.
",Paul will send Luke the login and password to Netflix on Sunday. He will also send him the bank account details so Luke can wire him the money every month. Paul is on holidays with his girl and they are out tomorrow.,,,,,,,,,10.0,BART-Cons
88,"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/","Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.
",Paul will send Luke the login and password on Sunday. Luke will wire Paul the money every month to pay for Netflix. Paul has been on holiday for less than 8 days.,,,,,,,,,10.0,Pegasus-Cons
89,"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/","Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.
",Adam is looking for someone to join Netflix family. Paul will send Luke the login and password on Sunday. Paul is on holidays with his girl. Paul will send Luke the bank account details so Luke can wire him the money every month. Paul is on holidays with his girl. Paul is on holidays for less than 8 days.,,,,X,,,,,8.0,T5-Baseline
90,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
",Greg needs to stay after hours and needs Betsy to pick up Johnny. She can't do it as she needs to work long hours today.,,,,,,,,,10.0,BART-Cons
91,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
",Greg needs to stay after hours. Betsy can't pick Johnny up. Greg will talk to Betsy later.,,,,,,,,,10.0,Pegasus-Cons
92,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
","Greg needs to stay after hours, but Betsy can't pick up Johnny. Today is Greg's day in the kindergarten.",X,,,,,,,,8.0,Pegasus-Baseline
93,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
",Greg needs to stay after hours. Betsy can't pick Johnny up.,X,,,,,,,,6.0,T5-Baseline
94,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
",Greg needs to stay after hours. He wants Betsy to pick up Johnny. Betsy can't do it because she has to work long hours today. Tuesdays are Greg's days in the kindergarten.,,,,,,,,,10.0,T5-Cons
95,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.
",Greg needs to stay after hours because he needs to work long hours. Betsy will talk to him later.,X,,,,,,,,9.0,BART-Baseline
96,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>","Ethan, Toby and Marshall are making fun of Scott.
","Ethan, Toby and Marshall are making fun of Scott.",,,,,,,,,10.0,BART-Cons
97,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>","Ethan, Toby and Marshall are making fun of Scott.
","Ethan, Marshall and Toby are making fun of Scott.",,,,,,,,,10.0,Pegasus-Cons
98,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>","Ethan, Toby and Marshall are making fun of Scott.
","Ethan, Toby, Marshall and Scott have a thing for each other.",,,X,,,,,,3.0,Pegasus-Baseline
99,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>","Ethan, Toby and Marshall are making fun of Scott.
","Ethan, Toby and Marshall are making fun of Scott.",,,,,,,,,10.0,T5-Cons
300,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
",Nick wants to meet Jane for a drink. Jane is a bit below the belt. Nick will take it back.,,,,,,,,,9.0,BART-Baseline
301,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
",Nick wants to meet up with Jane for a drink but she's not interested.,x,,,,,,,,8.0,Pegasus-Baseline
302,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
",Nick wants to meet up for a drink with Jane. Jane doesn't want to go out with him.,x,,,,,,,,8.0,BART-Cons
303,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
",Nick wants to meet up for a drink with Jane but she's not interested.,x,,,,,,,,8.0,Pegasus-Cons
304,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
",Nick and Jane will meet for a drink.,x,,,,,,,x,6.0,T5-Baseline
305,"Nick: You look absolutely gorgeous and have a lovely smile. 
Nick: Would love to get to know you a bit more. How about we meet up for a drink sometime?
Jane: Hmmm... You're shooting a bit above your range aren't you?
Nick: Why would you think that hon?
Jane: Because I'm not that desperate.
Nick: That was a bit below the belt.
Nick: You're nice but you're not THAT hot.
Jane: Oh is your poor little dick shriveling at the thought?
Nick: Actually I'll take it back. Forget about the drink.
Nick: Forget I ever wrote to you.
Jane: Bye loser!
Nick: Fucking bitch!
Jane: You're welcome!","Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.
","Nick wants to meet up with Jane for a drink, but she refuses.",x,,,,,,,,8.0,T5-Cons
306,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
",Adam's friend told him he saw Tim with a guy. He didn't tell Nate or Julia.,x,,x,x,,,,,3.0,Pegasus-Baseline
307,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
",Adam's friend saw Tim with a guy. Julia didn't know.,x,,x,x,,,,,3.0,T5-Baseline
308,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
","Adam's friend told him he saw Tim with a guy. Julia, Nate and Adam are surprised he didn't tell them.",x,,x,x,,,,,3.0,Pegasus-Cons
309,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
",Adam's friend saw Tim with a guy. Julia didn't know it was Tim.,x,,x,x,,,,,3.0,T5-Cons
310,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
",Adam's friend saw Tim with a guy. Nate didn't know he was gay.,x,,,,,,,,5.0,BART-Baseline
311,"Adam: My friend told me he saw Tim with a guy.
Nate: And?
Adam: <file_photo>
Nate: omg
Julia: Yeah, what a shocker
Adam: ??? You knew?!
Julia: I thought everyone knew
Nate: I had no idea
Nate: Did he tell you anything?
Julia: That he’s gay? God no
Adam: Why didn’t you tell us?
Julia: First: I assumed you knew
Julia: Second: Why would I? it’s not my business
Nate: I think he should’ve told us ;/ not cool
Adam: yeah, I made a completely idiot out of myself defending him
Julia: Against whom? I’m not surprised he didn’t tell you
Nate: Well, it’s not fair, we’re his friends
Julia: And? Does it change anything?","Julia knew Tim was gay, while Adam and Nate didn't. 
",Adam's friend saw Tim with a guy. Julia and Nate didn't know Tim is gay.,x,,,x,,,,,4.0,BART-Cons
312,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",Lilly will be late. Gabriel will order pasta with salmon and basil for her.,,,,,,,,,10.0,Pegasus-Baseline
313,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",Gabriel will order pasta with salmon and basil for Lilly.,x,,,,,,,,8.0,Pegasus-Cons
314,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",will order pasta with salmon and basil for Lilly.,x,,,,,,,,6.0,T5-Baseline
315,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",Lilly will be late. Gabriel will order pasta with salmon and basil for her.,,,,,,,,,10.0,T5-Cons
316,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",Lilly is going to be late. Gabriel will order pasta with salmon and basil.,,,,,,,,,10.0,BART-Baseline
317,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly will be late. Gabriel will order pasta with salmon and basil for her.
",Lilly is going to be late. Gabriel will order food for himself and Lilly.,x,,,,,,,,8.0,BART-Cons
318,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",Celine is at home. Cara will drop by in the evening.,x,,,x,x,,,,3.0,BART-Baseline
319,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",will drop by in the evening.,x,,,,,,,,1.0,T5-Baseline
320,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",Celine will drop by in the evening.,x,,,,,,,x,4.0,T5-Cons
321,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",Celine will call Cara if she decides to come over in the evening.,x,,,,,,,,6.0,BART-Cons
322,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",Cara wants to pass by Celine but she's not at home. Celine will call Cara if she wants to come.,,,,,,,,,10.0,Pegasus-Baseline
323,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Celine is not at home, but she will call Cara before visiting her.
",Cara wanted to pass by but Celine is not at home. She can drop by in the evening.,x,,,x,,,,,7.0,Pegasus-Cons
324,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Craig's computer is not working. Derek will help him in 20 minutes.,,,,,,,,,10.0,BART-Cons
325,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Craig needs help with his computer. Derek will get to him in 20 minutes.,,,,,,,,,10.0,Pegasus-Baseline
326,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Derek will help Craig with his computer in 20 minutes.,,,,,,,,,10.0,T5-Cons
327,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Derek will help Craig with his computer in 20 minutes.,,,,,,,,,10.0,Pegasus-Cons
328,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Craig needs help with his computer. Derek will give him 20 minutes to get to his car.,,,,x,,,,,6.0,BART-Baseline
329,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob","Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.
",Adam will help Craig with his computer in 20 minutes.,,,,x,,,,,4.0,T5-Baseline
330,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
","Emma wants to take a stroll with the little ones, but Abigail thinks it's not a good idea as the smog alert app is showing that the norms have been exceeded by 30% today.", ,,,,,,,,8.0,BART-Cons
331,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
","Emma wants to take the little ones for a stroll, but Abigail warns her that the smog alert has been exceeded by 30% today.",,,,,,x,,,7.0,T5-Cons
332,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
",Abigail's smog alert app is showing that the norms have been exceeded by 30% today. Emma needs to install that app.,x,,,,,,,,6.0,BART-Baseline
333,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
",Abigail doesn't want Emma to take her children for a walk with her as the smog alert app shows that the norms have been exceeded by 30%.,,,,,,,,x,7.0,Pegasus-Baseline
334,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
",Abigail is not going to take a stroll with the little ones.,x,,,,,,,x,5.0,T5-Baseline
335,"Emma: Hi neighbour :)
Emma: Do you want to take a stroll with the little ones?
Abigail: Hey Emma :) I don't think that's a good idea.
Abigail: My smog alert app is showing that the norms have been exceeded by 30% today :O
Emma: Oh my, that sounds serious.
Emma: I need to install that app.","Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.
",Abigail doesn't want Emma to take the little ones for a walk because the smog alert app shows that the norms have been exceeded by 30% today.,,,,,,,,,8.0,Pegasus-Cons
336,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ","Paul will buy red roses following Cindy's advice.
",Adam wants to buy red roses for Cindy.,,,,x,,,,x,6.0,T5-Baseline
337,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ","Paul will buy red roses following Cindy's advice.
",Paul wants pink flowers but Cindy doesn't want red ones.,,,,,x,,,x,4.0,Pegasus-Baseline
338,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ","Paul will buy red roses following Cindy's advice.
",Paul will get red roses for Cindy.,x,,,,,,,,7.0,T5-Cons
339,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ","Paul will buy red roses following Cindy's advice.
",Paul will get red roses for Cindy.,x,,,,,,,,7.0,BART-Cons
340,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ","Paul will buy red roses following Cindy's advice.
",Paul will tell Cindy what color flowers she should get.,x,,,x,,,,x,4.0,BART-Baseline
